Original Case Name,Extracted Suggestion Name
"Resolve Droopy Tip with Liquid Rhinoplasty","Resolve Droopy Tip With Liquid Rhinoplasty"
"Solve Under Eye Wrinkles with Blepharoplasty","Solve Under Eye Wrinkles With Blepharoplasty"
"Resolve Excess Skin - Upper Eyelid with Blepharoplasty","Resolve Excess Skin - Upper Eyelid With Blepharoplasty"
"Resolve Prejowl Sulcus with Facelift","Resolve Prejowl Sulcus With Facelift"
"Resolve Jawline Ill-Defined with Facelift","Resolve Jawline Ill-defined With Facelift"
"Resolve Eyelid Bags with Blepharoplasty","Resolve Eyelid Bags With Blepharoplasty"
"Resolve Dorsal Hump with Rhinoplasty","Resolve Dorsal Hump With Rhinoplasty"
"Tighten Skin Laxity with Topical/Skincare","Tighten Skin Laxity With Topical/skincare"
"Resolve Nasal Tip Too Narrow with Rhinoplasty","Resolve Nasal Tip Too Narrow With Rhinoplasty"
"Resolve Wide Jawline with Jaw Reduction","Resolve Wide Jawline With Jaw Reduction"
"Resolve Neck Excess Skin with Topical/Skincare","Resolve Neck Excess Skin With Topical/skincare"
"Resolve Over-Projected Chin with Jaw Reduction","Resolve Over-projected Chin With Jaw Reduction"
"Lighten Dark Circles with Fat Grafting","Lighten Dark Circles With Fat Grafting"
"Resolve Lower Cheek Volume Depletion with Fat Grafting","Resolve Lower Cheek Volume Depletion With Fat Grafting"
"Resolve Under Eye Hollow with Oral/Topical","Resolve Under Eye Hollow With Oral/topical"
"Resolve Negative Canthal Tilt with Lateral Canthopexy","Resolve Negative Canthal Tilt With Lateral Canthopexy"
"Improve Cheekbone Fullness with Facial Implant","Improve Cheekbone Fullness With Facial Implant"
"Hydrate Dry Lips with Topical HLA","Hydrate Dry Lips With Topical Hla"
"Resolve Shallow Labiomental Groove with Fat Grafting","Resolve Shallow Labiomental Groove With Fat Grafting"
"Resolve Oily Skin with Topical/Skincare","Resolve Oily Skin With Topical/skincare"
"Resolve Tip Droop When Smiling with Rhinoplasty","Resolve Tip Droop When Smiling With Rhinoplasty"
"Resolve Lower Cheek Over Fill with Buccal Fat Pad Removal","Resolve Lower Cheek Over Fill With Buccal Fat Pad Removal"
"Diminish Blackheads with Oral/Topical","Diminish Blackheads With Oral/topical"
"Resolve Under Eye Hollow with Fat Grafting","Resolve Under Eye Hollow With Fat Grafting"
"Resolve Deep Radix with Liquid Rhinoplasty","Resolve Deep Radix With Liquid Rhinoplasty"
"Resolve Alar Hang with Rhinoplasty","Resolve Alar Hang With Rhinoplasty"
"Resolve Temporal Hollow with Fat Grafting","Resolve Temporal Hollow With Fat Grafting"
"Resolve Lower Eyelid Sag with Blepharoplasty","Resolve Lower Eyelid Sag With Blepharoplasty"
"Resolve Excess Skin - Lower Eyelid with Blepharoplasty","Resolve Excess Skin - Lower Eyelid With Blepharoplasty"
"Solve Prejowl Sulcus with Facial Implant","Solve Prejowl Sulcus With Facial Implant"
"Contour Submentum with Kybella","Contour Submentum With Kybella"
"Resolve Mid Cheek - Flattened with Fat Grafting","Resolve Mid Cheek - Flattened With Fat Grafting"
"Resolve Nasal Tip Too Wide with Rhinoplasty","Resolve Nasal Tip Too Wide With Rhinoplasty"
"Resolve Too Wide - Nostril Base with Rhinoplasty","Resolve Too Wide - Nostril Base With Rhinoplasty"
"Resolve Excess Skin - Upper Eyelid with Topical/Skincare","Resolve Excess Skin - Upper Eyelid With Topical/skincare"
"Improve Cheekbone Fullness with Facelift","Improve Cheekbone Fullness With Facelift"
"Resolve Wide Chin with Jaw Reduction","Resolve Wide Chin With Jaw Reduction"
"Resolve Lacking Philtral Column with Fat Grafting","Resolve Lacking Philtral Column With Fat Grafting"
"Resolve Neck Excess Skin with Facelift","Resolve Neck Excess Skin With Facelift"
"Resolve Flat Forehead with Fat Grafting","Resolve Flat Forehead With Fat Grafting"
"Resolve Under Eye Hollow with Blepharoplasty","Resolve Under Eye Hollow With Blepharoplasty"
"Diminish Red Spots with Oral/Topical","Diminish Red Spots With Oral/topical"
"Resolve Crooked Nose with Liquid Rhinoplasty","Resolve Crooked Nose With Liquid Rhinoplasty"
"Smooth Smile Lines with Fat Grafting","Smooth Smile Lines With Fat Grafting"
"Resolve Cheekbone - Not Prominent with Fat Grafting","Resolve Cheekbone - Not Prominent With Fat Grafting"
"Resolve Mid Cheek - Flattened with Facelift","Resolve Mid Cheek - Flattened With Facelift"
"Resolve Droopy Tip with Rhinoplasty","Resolve Droopy Tip With Rhinoplasty"
"Solve Prejowl Sulcus with Fat Grafting","Solve Prejowl Sulcus With Fat Grafting"
"Resolve Excess Skin - Lower Eyelid with Topical/Skincare","Resolve Excess Skin - Lower Eyelid With Topical/skincare"
"Smooth Smile Lines with Facelift","Smooth Smile Lines With Facelift"
"Resolve Cheilosis with Corner Lip Lift","Resolve Cheilosis With Corner Lip Lift"
"Resolve Nose Under-Rotated with Rhinoplasty","Resolve Nose Under-rotated With Rhinoplasty"
"Resolve Nose Under-Projected with Liquid Rhinoplasty","Resolve Nose Under-projected With Liquid Rhinoplasty"
"Resolve Nose Over-Rotated with Rhinoplasty","Resolve Nose Over-rotated With Rhinoplasty"
"Hydrate Dry Skin with Topical/Skincare","Hydrate Dry Skin With Topical/skincare"
"Resolve Dorsal Hump with Liquid Rhinoplasty","Resolve Dorsal Hump With Liquid Rhinoplasty"
"Resolve Columellar Hang with Rhinoplasty","Resolve Columellar Hang With Rhinoplasty"
"Resolve Shallow Radix with Rhinoplasty","Resolve Shallow Radix With Rhinoplasty"
"Resolve Upper Eyelid Droop with Blepharoplasty","Resolve Upper Eyelid Droop With Blepharoplasty"
"Resolve Narrow Jawline with Jaw Implant","Resolve Narrow Jawline With Jaw Implant"
"Resolve Retruded Chin with Fat Grafting","Resolve Retruded Chin With Fat Grafting"
"Resolve Too Wide - Nasal Bone with Rhinoplasty","Resolve Too Wide - Nasal Bone With Rhinoplasty"
"Fade Dark Spots with Topical/Skincare","Fade Dark Spots With Topical/skincare"
"Smoothen Wrinkles with Topical/Skincare","Smoothen Wrinkles With Topical/skincare"
"Resolve Alar Retraction with Rhinoplasty","Resolve Alar Retraction With Rhinoplasty"
"Resolve Asymmetric Nostril Base with Rhinoplasty","Resolve Asymmetric Nostril Base With Rhinoplasty"
"Solve Under Eye Wrinkles with Blepharoplasty","Solve Under Eye Wrinkles With Blepharoplasty"
"Resolve Crooked Nose with Rhinoplasty","Resolve Crooked Nose With Rhinoplasty"
"Improve Cheekbone Fullness with Facelift","Improve Cheekbone Fullness With Facelift"
"Resolve Deep Radix with Rhinoplasty","Resolve Deep Radix With Rhinoplasty"
"Resolve Jowls with Facelift/Necklift","Resolve Jowls With Facelift/necklift"
"Resolve Nose Over-Projected with Rhinoplasty","Resolve Nose Over-projected With Rhinoplasty"
"Resolve Nose Over-Rotated with Liquid Rhinoplasty","Resolve Nose Over-rotated With Liquid Rhinoplasty"
"Resolve Jawline Ill-Defined with Fat Grafting","Resolve Jawline Ill-defined With Fat Grafting"
"Resolve Too Narrow - Nasal Bone with Rhinoplasty","Resolve Too Narrow - Nasal Bone With Rhinoplasty"
"Resolve Upper Eyelid Droop with Upneeq","Resolve Upper Eyelid Droop With Upneeq"
"Resolve Too Narrow - Nostril Base with Rhinoplasty","Resolve Too Narrow - Nostril Base With Rhinoplasty"
"Resolve Nasal Tip Too Narrow with Liquid Rhinoplasty","Resolve Nasal Tip Too Narrow With Liquid Rhinoplasty"
"Solve Ill Defined Jawline with Facelift","Solve Ill Defined Jawline With Facelift"
"Resolve Upper Eye Hollow with Fat Grafting","Resolve Upper Eye Hollow With Fat Grafting"
"Resolve Nose Under-Projected with Rhinoplasty","Resolve Nose Under-projected With Rhinoplasty"
"Resolve Jawline Ill-Defined with Jaw Implant","Resolve Jawline Ill-defined With Jaw Implant"
"Resolve Deep Labiomental Groove with Jaw Reduction","Resolve Deep Labiomental Groove With Jaw Reduction"
"Lighten Dark Circles with Topical/Skincare","Lighten Dark Circles With Topical/skincare"
"Resolve Columellar Retraction with Rhinoplasty","Resolve Columellar Retraction With Rhinoplasty"